Name,Album,Artist,Spotify Link
,,Various Artists,https://open.spotify.com/track/6L9FViN3Ie9RkZbhzlxewU
,,Various Artists,https://open.spotify.com/track/2r6UZZ1JdRsDlfIQHKDjST
,,Various Artists,https://open.spotify.com/track/2qPNdVlqZl1cYqsNc3MXnA
Yalgaar,Yalgaar (Original),Ajey Nagar (CarryMinati),https://open.spotify.com/track/0RGp4KA9wvndxqPIWoKwnD
"Jee Karda (From ""Badlapur)","Jee Karda (From ""Badlapur"")",Sachin-Jigar,https://open.spotify.com/track/6d1VAGIsaxCDMaQfVdLtRC
,,Various Artists,https://open.spotify.com/track/22qqToXc5l7Wkh9GcVTcet
Get Ready To Fight,Get Ready To Fight,Benny Dayal,https://open.spotify.com/track/3n1IbkZGIxwP27kiE3TKtP
Ghamand Kar,Tanhaji - The Unsung Warrior,Mehul Vyas,https://open.spotify.com/track/3HRLPt41jlHSamcpXxmRnJ
Warrior,Warrior,Ajey Nagar (CarryMinati),https://open.spotify.com/track/7DPJIXfwTbLqX8LzncJrsn
Khatam,Khatam,Emiway Bantai,https://open.spotify.com/track/251VdhnEdo9kxdQ7xeGuc3
Jump Kar,Jump Kar,Emiway Bantai,https://open.spotify.com/track/7BPUIl7zIezaZCuXFB7aLJ
,,Various Artists,https://open.spotify.com/track/1SyoA0bgV72lO9vf1w5wvm
Vardaan,Vardaan,Ajey Nagar (CarryMinati),https://open.spotify.com/track/0MRg2bzlVhGQTi4ecu792k
Satya,Punya Paap,DIVINE,https://open.spotify.com/track/1xSCr5uIndaHKFdO4s2V6B
Aarmabh Hai Prachand X Polozehnie,Aarmabh Hai Prachand X Polozehnie,Shrylox,https://open.spotify.com/track/41UQTit03jSLz0DoUZ3Eux
Ek Din Pyaar - Tadipaar,Ek Din Pyaar (Tadipaar),MC STAN,https://open.spotify.com/track/0UOSRkaaoRFgKJCvi0QQan
MACHAYENGE 4,MACHAYENGE 4,Emiway Bantai,https://open.spotify.com/track/0TeH0rRFmef6eqk86MPyUA
Machayenge,Machayenge,Emiway Bantai,https://open.spotify.com/track/5yUxKeTYbocSVfT1BUWJpb
Firse Machayenge,Firse Machayenge,Emiway Bantai,https://open.spotify.com/track/3gnPrVFy7vgmxw6L4UbuBE
Machayenge 3,Machayenge 3,Emiway Bantai,https://open.spotify.com/track/7wxWgtJiYSJiwxGTXRixwV
Basti Ka Hasti,Insaan,MC STAN,https://open.spotify.com/track/3k9PtGmPNnQtt32TKWm6f3
Khalibali,Padmaavat,Sanjay Leela Bhansali,https://open.spotify.com/track/3JT0mVof65rIHpRZITwRx1
I'm A Monster,I'm A Monster,Lucha,https://open.spotify.com/track/10J13D1trETctDdfUg6b5V
