Name,Album,Artist,Spotify Link
Kadhal Yen Kadhal,Mayakkam Enna,G. V. Prakash,https://open.spotify.com/track/5pV61B6b5kcy1ysaPL8iON
Naan Un,24 (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/3V2ricb6fi4OCJu2rjhL1A
Seramal Ponal,Gulaebaghavali (Original Motion Picture Soundtrack),Vivek - Mervin,https://open.spotify.com/track/0FTPiuMAGuvXVjeXh7g8ot
Chinna Thamarai,Vettaikaaran (Original Motion Picture Soundtrack),Vijay Antony,https://open.spotify.com/track/0Ul2NGGDAybeXWU0RLnv83
Orasaadha - Madras Gig,Orasaadha (Madras Gig),Vivek - Mervin,https://open.spotify.com/track/7fec0UcxeHVe6kHIez2GSs
Ey Sandakaara,Irudhi Suttru,Santhosh Narayanan,https://open.spotify.com/track/2UwM1cFgYjQ4U1ntbu6vKl
Kalasala Kalasala,Osthe (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/2PcgMmmhIZA83kwIYEjR8f
Nalla Nanban,Nanban (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/3fwcv1Wd0Ry35gvWiELG0e
Chalmaar,Chalmaar (From Devi),Sajid-Wajid,https://open.spotify.com/track/36ZHaZcuMJafQbLKshj28u
"Ullaallaa - From ""Petta""",Petta (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/2LLZkWMReCWhgTrHuRh6dV
Kutty Pattas,Kutty Pattas,Santhosh Dhayanidhi,https://open.spotify.com/track/7AHKnQ6XB5l7GL4pTJWLZn
"Thaai Kelavi (From ""Thiruchitrambalam"")","Thaai Kelavi (From ""Thiruchitrambalam"")",Dhanush,https://open.spotify.com/track/1pean7zvZUqcWZaUucH63f
Mallipoo,Vendhu Thanindhathu Kaadu (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/3i7qScF9Oyp31O9bAutJez
Kaalathukkum Nee Venum,Vendhu Thanindhathu Kaadu (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/0aQLKZl2mXdJHpxDteJdNo
"Thenmozhi (From ""Thiruchitrambalam"")","Thenmozhi (From ""Thiruchitrambalam"")",Santhosh Narayanan,https://open.spotify.com/track/1Nr46gjiP50uPsz30gYhAd
"Megham Karukatha (From ""Thiruchitrambalam"")","Megham Karukatha (From ""Thiruchitrambalam"")",Anirudh Ravichander,https://open.spotify.com/track/6TQS7URegxmcb8tTNpoXzi
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,https://open.spotify.com/track/6yvxu91deFKt3X1QoV6qMv
Marakkuma Nenjam,Vendhu Thanindhathu Kaadu (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/6WAfYZXIKo2ufmQZQR9L8E
"Mayakkama Kalakkama (From ""Thiruchitrambalam"")","Mayakkama Kalakkama (From ""Thiruchitrambalam"")",Dhanush,https://open.spotify.com/track/2kOH2QZB7F7I1iVXqwKuBF
"Jolly O Gymkhana (From ""Beast"")","Jolly O Gymkhana (From ""Beast"")",Anirudh Ravichander,https://open.spotify.com/track/6lpbzOMBOYHRsp6WEMvRvn
Vikram - Title Track,Vikram (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/6FQQiTpYnfc5803p84bQp1
"Pathala Pathala (From ""Vikram"")","Pathala Pathala (From ""Vikram"")",Anirudh Ravichander,https://open.spotify.com/track/5WWplXimzIjlJiN2N7T9Q3
"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")","Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",Anirudh Ravichander,https://open.spotify.com/track/6C8JJFoGC4dkVtAHVK3iif
"Tum Tum (From ""Enemy"")","Tum Tum (From ""Enemy - Tamil"")",Various Artists,https://open.spotify.com/track/3H3x4NhR3wJh6IvRHmPvkd
"Chellamma (From ""Doctor"")","Chellamma (From ""Doctor"")",Anirudh Ravichander,https://open.spotify.com/track/0fGclndst25Qqy8j4u5De5
Saami Saami,Pushpa - The Rise,Devi Sri Prasad,https://open.spotify.com/track/397k2vS0xPDxKKVXV46KtV
"Master the Blaster (From ""Master"")","Master the Blaster (From ""Master"")",Anirudh Ravichander,https://open.spotify.com/track/2cVJDlu9jmkPUeuJxA6v8i
"Rakita Rakita Rakita (From ""Jagame Thandhiram"")","Rakita Rakita Rakita (From ""Jagame Thandhiram"")",Santhosh Narayanan,https://open.spotify.com/track/2oNRoniEFnPdaCfkOQ9m0C
Mangalyam,Eeswaran (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/7n5Jcqw85WSfJHrMXsk5N2
"Life of Pazham (From ""Thiruchitrambalam"")","Life of Pazham (From ""Thiruchitrambalam"")",Anirudh Ravichander,https://open.spotify.com/track/6A6mDExVoAEJmc5JyVSQeK
"Private Party (From ""Don"")","Private Party (From ""Don"")",Anirudh Ravichander,https://open.spotify.com/track/6eYsOcDdB5b6rTO5ubMxeV
My Twin Brother,24 (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/6wrQeyE2Ae4sCbXril0NAS
Kaalam Yen Kadhali,24 (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/6KLZitsE2b7gcQZNT7YKlQ
Mei Nigara,24 (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/5LqT9B52dzjMBqeS48n9hQ
Punnagaye,24 (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/3zP8lswrBttP0XmKuvyrHA
Yaar Azhaippadhu,Maara (Original Motion Picture Soundtrack),Ghibran,https://open.spotify.com/track/2ZqzELrxZZyeTPSR7GZBH4
Ennodu Nee Irundhaal,I (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/7mLEUzAulFygMchoGMrP8E
Mersalaayitten,I (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/78R4fDeRrcoBIxL6uX4TnJ
Ladio,I (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/1LlFJKCWj1G9mK0lBiYLk2
"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") - Tamil","Ponni Nadhi (From ""Ponniyin Selvan Part -1"") [Original Motion Picture Soundtrack]",A.R. Rahman,https://open.spotify.com/track/1uJ2czshFLqimctgvsxfv2
Neduvaali,Osthe (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/5iSOpapekvq4U7GjNNhOeD
Osthe Maamey,Osthe (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/6aVnn31aSEfl6YZAJoyxKq
En Frienda Pola,Nanban (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/1TgVIOdcdsPx1sXyVE6aDz
Heartiley Battery,Nanban (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/3hLDNoLv73lNLSjmyjDyuS
"Ennai Vittu (From ""Love Today"")","Ennai Vittu (From ""Love Today"")",Yuvan Shankar Raja,https://open.spotify.com/track/3LP4QpKptfe2yEC7oG5iNa
"Jai Sulthan - From ""Sulthan""","Jai Sulthan (From ""Sulthan"")",Vivek - Mervin,https://open.spotify.com/track/7crGzxRqI5pMZAjZgF9uu2
Hey Singari,Hey Singari,Arul Raj,https://open.spotify.com/track/5gwIXB335XKUb6tMlGepQv
,,Various Artists,https://open.spotify.com/track/7H7ktpLPBvpJ0A2pwUy4hB
Lolita,Engeyum Kadhal (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/7uQlCXY5sxeyETkHZvTo0v
