,Name,Album,Artist
0,Calm Down,Non- Stop Pop,Various Artists
1,Until I Found You,Until I Found You (Piano Version),Stephen Sanchez
2,Rush,Rush,Ayra Starr
3,You Got Me Like,You Got Me Like,Paul Damixie
4,"Dance The Night (From ""Barbie The Album"")",Your Top Songs,Various Artists
5,golden hour,golden hour,JVKE
6,I'm Good (Blue),Silvester Party Hits 2022 / 2023,Various Artists
7,I'm Done,I'm Done,Paul Damixie
8,Leave The Door Open,Leave The Door Open,Bruno Mars
9,Woman,Planet Her,Doja Cat
10,Don't Be Shy,Don't Be Shy,Tiësto
11,Drip,Drip,Paul Damixie
12,3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook
13,INDUSTRY BABY,MONTERO,Lil Nas X
14,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone
15,Secrets,Secrets,Paul Damixie
16,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
17,Nonsense,A Nonsense Christmas,Sabrina Carpenter
18,For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy
19,Tomorrow,Tomorrow,Smiley
20,Single Soon,Single Soon,Selena Gomez
21,Butter,Butter,BTS
22,Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris
23,Days Of Summer,Days Of Summer,Smiley
24,Don't You Worry,Elevation,Black Eyed Peas
25,"24/7, 365","24/7, 365",elijah woods
26,Lil Boo Thang,Lil Boo Thang,Paul Russell
27,Days Of Summer - Toesup Remix,Days Of Summer (Toesup Remix),Smiley
28,Made You Look,Takin' It Back,Meghan Trainor
29,My Universe,My Universe,Coldplay
30,Solo,Solo,BLANKA
31,Sometimes,Sometimes,Jealous Friend
32,UP,UP,INNA
33,First Class,Chill Rap Vibes,Various Artists
34,Rush,Got Me Started,Troye Sivan
35,Call 911,Call 911,Carine
36,Sunroof,Sunroof,Nicky Youre
37,The Motto,The Motto,Tiësto
38,Light Switch,Light Switch,Charlie Puth
39,Come With Me,Come With Me,MIRA
40,Rock My Body,Rock My Body,R3HAB
41,Kiss Me,Songs of Sonder,Dermot Kennedy
42,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello
43,Do You Have a Problem,Do You Have a Problem,Edine
44,Welcome To New York (Taylor's Version),1989 (Taylor's Version),Taylor Swift
45,When I Get Old,When I Get Old,Christopher
46,Give Me A Kiss,Give Me A Kiss,Crash Adams
47,Natural Disaster,Natural Disaster,Jealous Friend
48,this is what falling in love feels like,this is what falling in love feels like,JVKE
49,On My Love,On My Love,Zara Larsson
50,About Damn Time,About Damn Time,Lizzo
51,Lolita,Lolita,Carine
52,Angel Baby,Angel Baby,Troye Sivan
53,Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA
54,The Drum,The Drum,Alan Walker
55,Lowkey Loving You,Lowkey Loving You,Erik Frank
56,Late Night Talking,Late Night Talking,Harry Styles
57,Slow Low,Slow Low,Jason Derulo
58,Whistle (feat. Calum Scott),Whistle (feat. Calum Scott),Jax Jones
59,Boogie,Boogie,Jealous Friend
60,Rodeo,Rodeo,BLANKA
61,Do It Again,Do It Again,Ray Dalton
62,Someday,Human (Deluxe),OneRepublic
63,Super Freaky Girl,Queen Radio: Volume 1,Nicki Minaj
64,All 4 Nothing (I'm So In Love),All 4 Nothing (I'm So In Love),Lauv
65,Freeze,Freeze,Kygo
66,B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose
67,Sweetest Pie,Sweetest Pie,Megan Thee Stallion
68,Celestial,Celestial,Ed Sheeran
69,Skate,Skate,Bruno Mars
70,Higher Power,Higher Power,Coldplay
71,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),Taylor Swift
72,Green Green Grass,Green Green Grass,George Ezra
73,Run,Run,OneRepublic
74,Yummy (with Dhurata Dora & Stefflon Don),Yummy (with Dhurata Dora & Stefflon Don),INNA
75,Hands On Me (feat. Meghan Trainor),Hands On Me (feat. Meghan Trainor),Jason Derulo
76,Hold On,Hold On,Justin Bieber
77,Satellite,Harry's House,Harry Styles
78,Cover Me In Sunshine,Cover Me In Sunshine,P!nk
79,Hold Me Closer,The Lockdown Sessions,Elton John
80,Zilevo,Zilevo,toka
81,Betty (Get Money),Betty (Get Money),Yung Gravy
82,Never Going Home,Never Going Home,Kungs
83,Anyone,Anyone,Justin Bieber
84,Follow You,Mercury - Act 1,Imagine Dragons
85,Heaven,The Show,Niall Horan
86,River,Endless Summer Vacation,Miley Cyrus
87,Players - DJ Smallz 732 - Jersey Club Remix,Players,Coi Leray
88,Biutyful,Music Of The Spheres,Coldplay
89,Off My Face,Justice,Justin Bieber
