Name,Album,Artist,Spotify Link
Nee Jathaga,Yevadu,Devi Sri Prasad,https://open.spotify.com/track/3XMGDq4wLX489HfqSS0NAI
Mustafa Mustafa,Prema Desam,A.R. Rahman,https://open.spotify.com/track/0XHI7qFNeVsVZ9dQE48W64
College Style,Prema Desam,A.R. Rahman,https://open.spotify.com/track/1JEa1ld00kF2UM17rM4aR4
Vintunnavaa,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/4Ua5t8kTLSnVKWV2NK2xiN
"Hrudayam Ekkadunnadi - From ""Ghajini""",Harris Jayaraj: Telugu Musical Hits,Harris Jayaraj,https://open.spotify.com/track/4WLuXsT3IsOp93zt0yB6IS
Endhuko Emo,Rangam (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/4G4Mqe5vRu81zEawCupKPk
Ee Hridayam,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/7wFL4hNlhotHNU6qZi9bHR
"Manassa - From ""Munna""",Harris Jayaraj: Telugu Musical Hits,Harris Jayaraj,https://open.spotify.com/track/77fwEvNpeGpfHCMCFQl63h
Aaraduguluntada,Seethamma Vakitlo Sirimalle Chettu (Original Motion Picture Soundtrack),Mickey J. Meyer,https://open.spotify.com/track/00jud6Bym8hDiyDSj4o6wW
Neeve,Darling (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/4QMZ6gwFTLk9qOhaQsGIxf
"Neeti Mullai (Bit Song) - From ""Varsham""",Music Blast: Devi Sri Prasad & Sagar - Telugu Hits,Devi Sri Prasad,https://open.spotify.com/track/4pxPd7SomT3LWezl93Hu4A
Manassa,Munna (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/3Ew9wEfTVs5JwEQEbVl1Wn
Cheliya Cheliya,Gharshana (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/1B2fcbdNnUqeHTUvQRE4JB
Feel My Love,Aarya (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/4YcKmpEywbTE0mtK2Ircrk
