Name,Album,Artist,Spotify Link
Okey Oka Lokam,Sashi,Arun Chiluveru,https://open.spotify.com/track/0CHCU726JnK7AIdbqrzN9Y
Oorantha,Rang De,Devi Sri Prasad,https://open.spotify.com/track/46H7FbWODDbx11UorD2XLU
Ye Kannulu Chudani Chitrame,Ardhashathabdam,Nawfal Raja,https://open.spotify.com/track/3Jjtn4IEN0cjPcfpvIDsfn
Ee Single Chinnode,Paagal,Radhan,https://open.spotify.com/track/23EjMdZkBbZpmYYP4p5LYZ
Nee Chitram Choosi,Love Story,Pawan Ch,https://open.spotify.com/track/5PsmOImV4eJxcTK8ZxSPJz
Rangule,Rang De,Devi Sri Prasad,https://open.spotify.com/track/2hhgOJ2t9bFVgn3xNhsEyl
Maguva Maguva Female Version,Vakeel Saab,Thaman S,https://open.spotify.com/track/0cIAH26KdKIGptxoa77gDd
Saradaga Kasepaina,Paagal,Radhan,https://open.spotify.com/track/4rfZUlyi7bukLGlENz3qWB
Guche Gulabi,Most Eligible Bachelor,Gopi Sundar,https://open.spotify.com/track/7t2bn7EHAvTPKn7wNKLCoK
Thattukoledhey Reprise,Thattukoledhey Reprise,Sornna Anand,https://open.spotify.com/track/19A6U5rXISFKBSmVxWyMcF
Laahe Laahe,Acharya,Mani Sharma,https://open.spotify.com/track/6rcTPn1CwOyuskilY12IqL
"Paatashaala (From ""Yuvarathnaa (Kannada)"")","Paatashaala (From ""Yuvarathnaa (Kannada)"")",Thaman S,https://open.spotify.com/track/6mcavkpPkjckU9fsWIl6wl
O Kalala Kathala,Dear Comrade,Justin Prabhakaran,https://open.spotify.com/track/1akk6cJYNDlZUgpLoXvYMz
Friendship,Hushaaru,Radhan,https://open.spotify.com/track/2Ae40bIvDIIogpu99IjNMx
Shaane Top Agavle,Sinnga,Dharma Vish,https://open.spotify.com/track/2TSYqiBfe8dO9AqsORsp19
Emo Emo,Raahu (Original Motion Picture Soundtrack),Praveen Lakkaraju,https://open.spotify.com/track/1kYg9IZJ9QwrnHaJztmK5n
"Unnatundi Gundey - From ""Ninnu Kori""","Unnatundi Gundey (From ""Ninnu Kori"")",Karthik,https://open.spotify.com/track/1s9ryZb4SbWAp3qWecSSuA
Emannavoo,Nava Manmadhudu (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/36ylvIx1fVaM4i5pux7Ea1
Yevandoi Nani Garu,MCA (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/5R1thh31Lwtnoq03loXavS
Sara Sari - Telugu,Bheeshma,Mahati Swara Sagar,https://open.spotify.com/track/2KITDNsklvrgQKFgqCfKwn
Leharaayi,Most Eligible Bachelor,Gopi Sundar,https://open.spotify.com/track/6DFXFqK5PTGqTzTbdj47uV
Changu Bhala,Oh Baby,Mickey J. Meyer,https://open.spotify.com/track/21IqKJscaqFkgVB6h4qe5b
Padi Padi Leche,Padi Padi Leche Manasu,Vishal Chandrashekhar,https://open.spotify.com/track/7tXaDnRF8OVbcecl0KurVn
Believer,Evolve,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
Dostha Kano,Roberrt,Arjun Janya,https://open.spotify.com/track/1MiHUcSXHL3iUCU9Nzcc3r
,,Various Artists,https://open.spotify.com/track/2TfbJQSJ3liGVEyNKk4SnV
Ninodhalaka Neenu,Roberrt (Telugu),Arjun Janya,https://open.spotify.com/track/6Blse6v53bygYH0Rmz96R1
Sirivennela - Female Version,Shyam Singha Roy - Telugu,Mickey J. Meyer,https://open.spotify.com/track/3LZcWnnVdy7J0tKGyN934a
,,Various Artists,https://open.spotify.com/track/75mAnefgaiZMiUeveBLHBP
Soul Of Dia,Soul Of Dia (From 'Dia'),B. Ajaneesh Loknath,https://open.spotify.com/track/4eNWs3iQPOLxNCBQ2EQw5t
Aanandam Madike,Ishq - Not A Love Story,Mahati Swara Sagar,https://open.spotify.com/track/2fFzaEItfOkwVu1PsCs1CI
"Yemunnave Pilla - From ""Nallamalla""","Yemunnave Pilla (From ""Nallamalla"")",Sid Sriram,https://open.spotify.com/track/6geYV8EMMVN5hytPHpXtIS
Naa Kanulu Yepudu,Rang De,Devi Sri Prasad,https://open.spotify.com/track/3g6RB0ryX4qO3zNLNdpDPJ
Inkosaari Inkosaari,Tuck Jagadish,Thaman S,https://open.spotify.com/track/7LN5G4YKcW1zZiHLbuITVt
Mella Mellagaa,ABCD - American Born Confused Desi (Original Motion Picture Soundtrack),Judah Sandhy,https://open.spotify.com/track/4vX7VKZYx1wGAq5DKBTfAF
Evo Evo Kalale,Love Story,Pawan Ch,https://open.spotify.com/track/0eJ0nwbgidj7Uo2N14t2GK
Emai Pothane,O Pitta Katha,Praveen Lakkaraju,https://open.spotify.com/track/4qaMMATAYEdPfDvXTu0Q4s
Cheliya Cheliya,Nenu Rowdy Ne (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/1aVGNlx8y38bXlhJOjwlZx
Eswara,Uppena,Devi Sri Prasad,https://open.spotify.com/track/6qZ5Vs8GUDwZOXK6pESQQz
Jala Jala Jalapaatham Nuvvu,Uppena,Devi Sri Prasad,https://open.spotify.com/track/3NF3c438tAguEcWvU4b5iA
I Wanna Fly,Revanth Telugu Hits,L. V. Revanth,https://open.spotify.com/track/5QIooHVnzRwRCcfoLvbrV3
Premantey Enti,Pelli SandaD,M. M. Keeravani,https://open.spotify.com/track/0ZK5FxEJzqJPBh6cPoAWmi
Amma Amma Neevennela,Paagal,Radhan,https://open.spotify.com/track/2qEd2Rv2sxKdmlML6ThcXG
Idhi Chala Baagundhi Le,Sehari,Prashanth R Vihari,https://open.spotify.com/track/24EOG8CjVwcVOljsYi1dgo
Oke Oka Jeevitham,Mr Nookayya,Yuvan Shankar Raja,https://open.spotify.com/track/540QlWSvpDzDOc0EMzUokz
Ninne Ninne - Telugu,Aswathama,Sricharan Pakala,https://open.spotify.com/track/2wrL7iRsG4bIAfN4bLUjK3
Hey Manasendukila,Ichata Vahanumulu Niluparadu,Pravin Lakkaraju,https://open.spotify.com/track/6GGMJIhdZeTjbMeDgVYZXg
,,Various Artists,https://open.spotify.com/track/78ezufT6ND0PcSctjWHS6N
Neekem Kaavaalo Cheppu,Yentha Vaadu Gaanie (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/45U1a0tMVIN9mlXoW55RGg
Puttene Prema,Gully Rowdy,Ram Miriyala,https://open.spotify.com/track/7LrGTUqYtt2SjoUfkQotXp
Ay Pilla - Telugu,Love Story,Pawan Ch,https://open.spotify.com/track/5nVFeACm96rucybpDAjfK5
Kola Kalle Ilaa,Varudu Kaavalenu,Vishal Chandrashekhar,https://open.spotify.com/track/7GfyeCjPx05EUlAfMksojh
Nuvvunte Naa Jathagaa,I - Manoharudu (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/5dG3KI5rIUwiUQNNr3Y1to
Nijanga Nenena,Kothabangarulokam,Mickey J. Meyer,https://open.spotify.com/track/5haAVKCKAfb7IYLplcao0h
Vellipoke,Memu Vayasuku Vachham,Various Artists,https://open.spotify.com/track/397ca8b09VvIeZtjVGcoRm
Undiporaadhey - Sad Version,Hushaaru,Radhan,https://open.spotify.com/track/18r28YOE2nO8hU0bv0lmcv
"Excuse Me Rakshasi - From ""Ninu Veedani Needanu Nene""","Excuse Me Rakshasi (From ""Ninu Veedani Needanu Nene"")",Thaman S,https://open.spotify.com/track/4RL53b4NDXOGZsyN0T2hhI
Teliyade Teliyade,Fresh Face To Tollywood,Devi Sri Prasad,https://open.spotify.com/track/2iahsjEEcuqEIavb7OtroE
So So Ga,Manchi Rojulochaie,Anup Rubens,https://open.spotify.com/track/43J2crZ8lW1HtoInqVvoGH
Dum Dare,Kirrak Party,B. Ajaneesh Loknath,https://open.spotify.com/track/0BYwEmzGsCDMPflvxCXPaf
Ee Maya Peremito,Top 10 Tollywood Songs 2020,Various Artists,https://open.spotify.com/track/6uf6AYx21PzgavCODMHeA1
Thaaney Vachhindhanaa,Krishnarjuna Yudham,Hiphop Tamizha,https://open.spotify.com/track/59fv8n6euiG2QYmRrnbLOO
Manasa Manasa - Telugu,Most Eligible Bachelor,Gopi Sundar,https://open.spotify.com/track/4kEd65XC9mEFTiscE6f6N9
Ammaye Challo Antu,Chalo,Mahati Swara Sagar,https://open.spotify.com/track/4iMwKJfQkUXzdujZsgAH33
Baby Oh Baby,Maestro,Mahati Swara Sagar,https://open.spotify.com/track/4qdNj0OAQPssrTGXqctc57
Kollagottey,Remo (Telugu) [Original Motion Picture Soundtrack],Anirudh Ravichander,https://open.spotify.com/track/0V6XoG8tWC7xhUNwYLOGYL
Vaaram - First Look Somavaaram,Chal Mohan Ranga,Thaman S,https://open.spotify.com/track/1RGbMd4J28QykKdQam9Ef6
Arere Aakasham - Telugu,Colour Photo,Kala Bhairava,https://open.spotify.com/track/6w0C4Zk1SqRsZR3kCOiduW
"Hey Abbayi (From ""Sreekaram"")","Hey Abbayi (From ""Sreekaram"")",Mickey J. Meyer,https://open.spotify.com/track/7M5QfxBCMt1FFJ3ZVTQJbX
Gulabi Kallu Rendu Mullu,Mega Power Star,Hiphop Tamizha,https://open.spotify.com/track/67XeWdoClnbbB5HyuB5wIj
Guruvaram,Kirrak Party,B. Ajaneesh Loknath,https://open.spotify.com/track/58DAnVD65xKeQW3ARTBolV
"Andhame Athivai Vasthe - From ""Sulthan""","Andhame Athivai Vasthe (From ""Sulthan"")",Vivek - Mervin,https://open.spotify.com/track/3TA5flVlxfG22LJq9a48oH
Hey choosa - Telugu,Bheeshma,Mahati Swara Sagar,https://open.spotify.com/track/2HwVeJKanuNEGipsvx01Wv
Yevevo,Hello!,Anup Rubens,https://open.spotify.com/track/2zpzbfEexXPmymYNWU1Bha
Kanapadava Male,Paagal,Radhan,https://open.spotify.com/track/7a500DIsOlefYHYMPLNUvy
Inthalo Ennenni Vinthalo Male,Karthikeya,Shekar Chandra,https://open.spotify.com/track/76eCC3r9jrVDsQnfAqQNH4
Yenno Yenno,Expectional Music Of Gopi Sundar,Gopi Sundar,https://open.spotify.com/track/3oq7n7GIt7ZuCjtVg1kbKh
Prema O Premaa,NGK (Telugu) [Original Motion Picture Soundtrack],Yuvan Shankar Raja,https://open.spotify.com/track/2oMVPX0asvUfRfap0iEmXv
