,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Blue Moon,Close to the Sun,Public Library Commute
2,GODLESS WOMAN,GODLESS WOMAN,Gun Boi Kaz
3,Creep,Creep,ORYL
4,Six Feet Under,Six Feet Under,Billie Eilish
5,L.A.,ARC 003,Verskotzi
6,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
7,Sofa,Sofa,Hannah Ascher
8,Something to Write About,Standing Still,Ethan Senger
9,Heather,Kid Krow,Conan Gray
10,Circles,Hollywood's Bleeding,Post Malone
11,Loosing Interest,Passion & Confusion,Timmies
12,High - Slowed + Reverb,High,ORYL
13,It's You,YOU,Ali Gatie
14,Where Is My Mind?,Where Is My Mind?,ORYL
15,Better Now,Better Now,ORYL
16,Jocelyn Flores,17,XXXTENTACION
17,Everybody Dies In Their Nightmares,17,XXXTENTACION
18,Keep You Close,Keep You Close,ORYL
19,Heartbreak Anniversary,TAKE TIME,Giveon
20,idfc,deadroses,blackbear
21,Till Forever Falls Apart,Till Forever Falls Apart,Ashe
22,Someone Like You,21,Adele
23,Train Wreck,Back from the Edge,James Arthur
24,bad ones,TOO YOUNG TO BE SAD,Tate McRae
25,Arcade,Small Town Boy (Track By Track),Duncan Laurence
26,Tell Me Goodbye,Tell Me Goodbye,ORYL
27,r u ok,TOO YOUNG TO BE SAD,Tate McRae
28,Happier,÷ (Deluxe),Ed Sheeran
29,7 Years,Lukas Graham,Lukas Graham
30,slower,slower,Tate McRae
31,drivers license,drivers license,Olivia Rodrigo
32,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber
33,Half A Man,A Place We Knew,Dean Lewis
34,1-800-273-8255,Everybody,Logic
35,Let It Go,Chaos And The Calm,James Bay
36,Spinning,Spinning,Trinity Sander
37,lovely (with Khalid),lovely (with Khalid),Billie Eilish
38,changes,?,XXXTENTACION
39,"i hate u, i love u (feat. olivia o'brien)",us,gnash
40,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
41,Kiss You,Kiss You,Steph Devine
42,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
43,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith
44,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding
45,High,High,ORYL
46,Be Alright,A Place We Knew,Dean Lewis
47,Can We Kiss Forever?,Can We Kiss Forever?,Kina
48,If The World Was Ending,If The World Was Ending,JP Saxe
49,my future,my future,Billie Eilish
50,Nude,In Rainbows,Radiohead
51,At My Worst,The Prelude,Pink Sweat$
52,Fix You,X&Y,Coldplay
53,XO,i think you think too much of me,EDEN
54,Coaster,American Teen,Khalid
55,Not About Angels,Not About Angels,Birdy
56,Let Her Go,All The Little Lights,Passenger
57,Save Your Tears,After Hours,The Weeknd
58,Breathe Me,Colour The Small One,Sia
59,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
60,Let You Down,Perception,NF
61,Say You Won't Let Go,Back from the Edge,James Arthur
62,I Need You,I Need You,ORYL
63,Moonlight,YOU,Ali Gatie
64,You're Beautiful,Back to Bedlam,James Blunt
65,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake
66,Yellow,Parachutes,Coldplay
67,Feel,Escapology,Robbie Williams
68,you broke me first,you broke me first,Tate McRae
69,No Surprises,OK Computer,Radiohead
70,All of Me,Love In The Future (Expanded Edition),John Legend
71,you were good to me (bonus track),love is not dying,Jeremy Zucker
72,Lie,Perception,NF
73,this is how you fall in love,brent ii,Jeremy Zucker
74,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
75,better off,glisten,Jeremy Zucker
76,a fireplace,a fireplace,Photography
77,ATLAS,ATLAS,JOLENE
78,If You Want Love,Perception,NF
79,I Fall Apart,Stoney (Deluxe),Post Malone
80,Skinny Love,Birdy,Birdy
81,What I Need,What I Need,ORYL
82,Can I Be Him,Back from the Edge,James Arthur
83,what did you expect,what did you expect,Brianna Bollinger
84,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
85,I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi
86,Let Me Down Slowly,Narrated For You,Alec Benjamin
87,Waves,A Place We Knew,Dean Lewis
88,You Are The Reason,Only Human (Deluxe),Calum Scott
89,brooklyn boy,brent ii,Jeremy Zucker
90,One Day,One Day,Tate McRae
91,July,THE END OF EVERYTHING,Noah Cyrus
92,Let Go,Let Go,ORYL
93,All I Want,In A Perfect World (Expanded Edition),Kodaline
94,Everyone Needs Someone,Everyone Needs Someone,Sebastian Krenz
95,Fall Apart,Fall Apart,Gidexen
96,bad habit,bad habit,sorry idk
97,habits (stay high),habits (stay high),sorry idk
