Name,Album,Artist,Spotify Link
Athey Nanne,Surya S/o Krishnan (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/5Vhm92XrsXw5SfFYnxxspt
Emai Poyave,Padi Padi Leche Manasu,Vishal Chandrashekhar,https://open.spotify.com/track/14M1StehpwsydSGGy8z9eq
Allantha Doorala,Aadavari Matalaku Ardhalu Veruley,Yuvan Shankar Raja,https://open.spotify.com/track/5jDcZCA2NJEvk7Kwa6bcE1
Yellipoke Shyamala,Aa Aaa,Mickey J. Meyer,https://open.spotify.com/track/6x0uurbe3O3v7ogFWdEjYa
Na Cheli Rojave,Roja,A.R. Rahman,https://open.spotify.com/track/39RE07kcHln5DjnerRCaKy
Chilipiga,Orange,Harris Jayaraj,https://open.spotify.com/track/5J3Gykr4QdXzgbRGlusUrM
Gelupu Thalupule,Teenmaar,Mani Sharma,https://open.spotify.com/track/2Cj0kdPCNWSqMApIHg8oh6
Jabilli Kosam-Male,Manchi Manasulu,Ilaiyaraaja,https://open.spotify.com/track/4imLxNMs05m3Co3CORrQtm
Kanapadava..,Kanapadava..,Yazin Nizar,https://open.spotify.com/track/5Gj5PTVoTs1pBeECLqZznr
Yedho,Awaara (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/0RQhpA5lD1GyM7lO2tdmbO
"Naa Madhi (From ""Thiru"")","Naa Madhi (From ""Thiru"")",Dhanunjay Seepana,https://open.spotify.com/track/42JI4hVOPLwQ0J7WOfIieR
Adugasale,MalliRaava (Original Motion Picture Soundtrack),Shravan Bharadwaj,https://open.spotify.com/track/2ZyQggcbdUtIGrokIXN700
Kannula Baasalu,7G Brundhavana Colony,Yuvan Shankar Raja,https://open.spotify.com/track/7eFFgsETjYqTKKMCk3Z6VW
Vurike Chilakaa - Bombay / Soundtrack Version,Bombay,Various Artists,https://open.spotify.com/track/1Nm6QoT9Iu5ismjmJSLpNs
Em Cheppanu,Nenu Sailaja,Devi Sri Prasad,https://open.spotify.com/track/40sRF4TRBsIBERczzU2JY2
Ori Vaari,"Ori Vaari (From ""Dasara"") - Telugu",Santhosh Narayanan,https://open.spotify.com/track/45xajAqfrDhxpIOV2dBkYp
Ninnele,Radhe Shyam,Justin Prabhakaran,https://open.spotify.com/track/7uo3wgB8We99kdcJpKDiq9
Waiting For You,Oye,Yuvan Shankar Raja,https://open.spotify.com/track/42XgH6kQAvTOiKODWMuD9p
Cheliya Cheliya,Idiot,Chakri,https://open.spotify.com/track/1L5ZBKvnyls7JUTMGw4rSy
Idhi Tholi Rathri,Majnu,Laxmikant–Pyarelal,https://open.spotify.com/track/5bX7nCOsJ9ISJ6Q3yGV1Q2
