,Name,Album,Artist
0,All I Want for Christmas Is You,Merry Christmas,Mariah Carey
1,greedy,greedy,Tate McRae
2,Last Christmas - Single Version,The Singles: Echoes from the Edge of Heaven,Wham!
3,Rockin' Around The Christmas Tree,Merry Christmas From Brenda Lee,Brenda Lee
4,My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski
5,Lovin On Me,Lovin On Me,Jack Harlow
6,Santa Tell Me - Naughty Version,Christmas & Chill,Ariana Grande
7,Cruel Summer,Lover,Taylor Swift
8,Jingle Bell Rock,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),Bobby Helms
9,It's Beginning to Look a Lot like Christmas,Christmas (Deluxe Special Edition),Michael Bublé
10,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd
11,Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook
12,Snowman,Everyday Is Christmas (Deluxe Edition),Sia
13,It's the Most Wonderful Time of the Year,The Andy Williams Christmas Album,Andy Williams
14,PERRO NEGRO,nadie sabe lo que va a pasar mañana,Bad Bunny
15,QLONA,MAÑANA SERÁ BONITO (BICHOTA SEASON),KAROL G
16,Paint The Town Red,Scarlet,Doja Cat
17,Si No Estás,Si No Estás,iñigo quintero
18,Standing Next to You,GOLDEN,Jung Kook
19,Let It Snow! Let It Snow! Let It Snow!,A Winter Romance,Dean Martin
20,Strangers,Strangers,Kenya Grace
21,I Wanna Be Yours,AM,Arctic Monkeys
22,Underneath the Tree,Wrapped In Red,Kelly Clarkson
23,Holly Jolly Christmas,Christmas,Michael Bublé
24,Water,Water,Tyla
25,HARLEY QUINN,Pa las Baby's Y Belikeada,Fuerza Regida
26,Que Onda,Que Onda,Calle 24
27,Agora Hills,Scarlet,Doja Cat
28,Starboy,Starboy,The Weeknd
29,vampire,GUTS,Olivia Rodrigo
30,Stick Season,Stick Season,Noah Kahan
31,Kill Bill,SOS,SZA
32,Feliz Navidad,Feliz Navidad,José Feliciano
33,Según Quién,Don Juan,Maluma
34,MONACO,nadie sabe lo que va a pasar mañana,Bad Bunny
35,Daylight,Daylight,David Kushner
36,Sleigh Ride,Sleigh Ride,The Ronettes
37,Mistletoe,Under The Mistletoe (Deluxe Edition),Justin Bieber
38,Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),JID
39,The Night We Met,Strange Trails,Lord Huron
40,You’re Losing Me (From The Vault),You're Losing Me (From The Vault),Taylor Swift
41,LALA,LA VIDA ES UNA,Myke Towers
42,3D (feat. Jack Harlow),3D : The Remixes,Jung Kook
43,As It Was,Harry's House,Harry Styles
44,exes,THINK LATER,Tate McRae
45,Pehle Bhi Main,ANIMAL,Manan Bhardwaj
46,LUNA,FERXXOCALIPSIS,Feid
47,Snooze,SOS,SZA
48,Houdini,Houdini,Dua Lipa
49,Die For You,Starboy,The Weeknd
