Name,Album,Artist,Spotify Link
Ticket Eh Konakunda,Tillu Square,Ram Miriyala,https://open.spotify.com/track/3NdQpAhK5s42vu3do3KSBT
"Odiyamma (From ""Hi Nanna"") [TELUGU]","Odiyamma (From ""Hi Nanna"") [TELUGU]",Dhruv Vikram,https://open.spotify.com/track/1g9V1QE7vbeAx5Xm04DfLi
Dum Masala,Guntur Kaaram,Thaman S,https://open.spotify.com/track/3yNhGgQMPOdqVFpjRu8k8x
Boss Party,"Boss Party (From ""Waltair Veerayya"")",Devi Sri Prasad,https://open.spotify.com/track/4sJ9X27MSCue4d0t48MXwe
Oo Antava Oo Oo Antava,Pushpa - The Rise,Devi Sri Prasad,https://open.spotify.com/track/3szxldqiYs7nkvtmooRod8
Pulsar Bike,Dhamaka (Original Motion Picture Soundtrack),Bheems Ceciroleo,https://open.spotify.com/track/3abjYvIGlKZGrNaM3Hw0op
Saranga Dariya,Love Story,Pawan Ch,https://open.spotify.com/track/74IQCxI4nws964fic1Q4pv
Ramuloo Ramulaa - Duet,Ala Vaikunthapurramuloo,Thaman S,https://open.spotify.com/track/4uXJADmybUHUgycBWFHeq6
Tillu Anna DJ Pedithe,DJ Tillu,Ram Miriyala,https://open.spotify.com/track/4ZNIkO2j6K2c0Nm8zWXmdn
Seeti Maar,DJ,Devi Sri Prasad,https://open.spotify.com/track/5VayHAvzwBx4i87c1twFjS
Top Lesi Poddi,Idharammayilatho,Devi Sri Prasad,https://open.spotify.com/track/0FSrCEox8bEpO3RD6ZfEr5
"My Dear Markandeya (From ""BRO"")","My Dear Markandeya (From ""BRO"")",Thaman S,https://open.spotify.com/track/6xvDQ2hfOXdXLYPtCcKXDE
Darlingey,Mirchi,Devi Sri Prasad,https://open.spotify.com/track/5PXmfhFNAxiqK86Xknc1HB
Jennifer Lopez,Jalsa,Devi Sri Prasad,https://open.spotify.com/track/7DogGBT86sbjsNWQSIGLtB
Ra Ra Reddy I Am Ready,Macherla Niyojakavargam,Mahati Swara Sagar,https://open.spotify.com/track/4gC6xOiJLHTpIARRdmYMaQ
Saami Saami,Pushpa - The Rise,Devi Sri Prasad,https://open.spotify.com/track/4ZUxhQNRCzlh6alqBHPNRC
Bholaa Mania,Bholaa Shankar,Mahati Swara Sagar,https://open.spotify.com/track/3j5tH9i4Zrca5zWjAPPa83
"Psycho Saiyaan (From ""Saaho"")","Psycho Saiyaan (From ""Saaho"")",Anirudh Ravichander,https://open.spotify.com/track/2IbRKQwgiyvXY1yVq8GuA3
Bombhaat,LIE,Mani Sharma,https://open.spotify.com/track/0VcO1SA3oUKl1qHSUc6LxQ
Super Machi,Son Of Satyamurthy,Devi Sri Prasad,https://open.spotify.com/track/3WTHnUPLqVZXSw54PFLtiL
Nakkileesu Golusu - Telugu,Palasa 1978,Raghu Kunche,https://open.spotify.com/track/1VIaSk3fxqHAqsl25142Z6
Laahe Laahe,Acharya,Mani Sharma,https://open.spotify.com/track/6rcTPn1CwOyuskilY12IqL
"Kaavaali (From ""Jailer"")","Kaavaali (From ""Jailer"")",Anirudh Ravichander,https://open.spotify.com/track/2vVtDYqfePFBMBBuHF9p4n
Time To Party,Attarrintiki Daaredi,Devi Sri Prasad,https://open.spotify.com/track/4MCwrrZj6yl2hL6rGxeXQu
Iraga Iraga,Naa Peru Surya Naa Illu India,Vishal-Shekhar,https://open.spotify.com/track/2RCigtiYWf4LBCbp60m7Qg
Whattey Beauty - Telugu,Bheeshma,Mahati Swara Sagar,https://open.spotify.com/track/3KUD3u6xFEIewEQVppwXbH
Jam Jam Jajjanaka,Bholaa Shankar,Various Artists,https://open.spotify.com/track/4jjWVRKdcW02Dhy8tEI2vA
Hulala,Express Raja,Praveen Lakaraju,https://open.spotify.com/track/6dfzvJmyJN2vmAywOeFVMO
"Bad Boy (From ""Saaho"")","Bad Boy (From ""Saaho"")",Badshah,https://open.spotify.com/track/07CVvNMGywbXhQRs6E7fbx
Master Coming,Master (Telugu) [Original Motion Picture Soundtrack],Anirudh Ravichander,https://open.spotify.com/track/7LSlA4HRXqhJJeQjq3Hm4R
Cinema Choopistha Mama,Race Gurram (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/5e5VbJTAuQ52mOngxjFZvg
"Bhalegundi Baalaa (From ""Sreekaram"")","Bhalegundi Baalaa (From ""Sreekaram"")",Mickey J. Meyer,https://open.spotify.com/track/3S1bUkPhTRTNkSCxhkUgP0
Pedda Puli,Chal Mohan Ranga,Thaman S,https://open.spotify.com/track/4PYJiAIsR6JlgGZbhXPPK1
One & Two & Three,Son Of Satyamurthy,Devi Sri Prasad,https://open.spotify.com/track/7LcNScYoKIPpLJ79V3QbNj
Lover Also Fighter Also,Naa Peru Surya Naa Illu India,Vishal-Shekhar,https://open.spotify.com/track/6nkxR6fDePyPHuGVIzxGFa
Box Badhalai Poyi,DJ,Devi Sri Prasad,https://open.spotify.com/track/2tXmqzOJHKDsIWJ2y2ntAe
Come To The Party,Son Of Satyamurthy,Devi Sri Prasad,https://open.spotify.com/track/573LKvxZqtuD009eUcG1BR
Bimbilikki Pilapi,Prince (Telugu),Thaman S,https://open.spotify.com/track/3q4QQvm6nUjdtoo6UtHwAT
Laila O Lailaa,Naayak,Thaman S,https://open.spotify.com/track/4S4aK9Fc9gfJ3uSE9kyoB8
Bang Bang Bangkok,Kumari 21 F,Devi Sri Prasad,https://open.spotify.com/track/0A1chT9ef0Kn1NnQVnLoot
Family Party,MCA,Devi Sri Prasad,https://open.spotify.com/track/2cOBMRGCQ3Qi7gHrTELdHn
Jwala Reddy,Seetimaarr,Mani Sharma,https://open.spotify.com/track/3sJsBrmu3pVEbxSW5vMQoi
Saana Kastam,Acharya,Mani Sharma,https://open.spotify.com/track/6GbObXudr6oFWk8FdHHLeh
Glassmates,Chitralahari (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/2V06e3XvyeyjfzK1rCljVG
"Muqabla (From ""Street Dancer 3D"") [Telugu]","Muqabla (From ""Street Dancer 3D"") [Telugu]",Yash Narvekar,https://open.spotify.com/track/5LWtYEKVLEpk4FBdGhZKxy
"Akdi Pakdi (Telugu) [From ""Liger (Telugu)""]","Akdi Pakdi (Telugu) [From ""Liger (Telugu)""]",Lijo George,https://open.spotify.com/track/5tR8c0armDwsHh5IPVARXx
Side Please,Nenu Local,Devi Sri Prasad,https://open.spotify.com/track/0UyTXiVQuWpScleQ4uVtox
Chitike,Gang (Telugu) [Original Motion Picture Soundtrack],Anirudh Ravichander,https://open.spotify.com/track/3vrcXIv9dclJYfpo5JshOp
Coca Cola Pepsi - Telugu,Venky Mama,Thaman S,https://open.spotify.com/track/3qZaFoWwuh5GRCmTyxbbXW
Thaar Maar Thakkar Maar,God Father (Telugu),Thaman S,https://open.spotify.com/track/3sXqGPEF6sqqw95wuECibq
